,2,3,4,5,6,7,8,9,10,11
21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
19,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
18,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
17,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
16,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT,HIT,
15,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT,HIT,
14,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT,HIT,
13,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT,HIT,
12,HIT,HIT,STAND,STAND,STAND,HIT,HIT,HIT,HIT,HIT,
11,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,
10,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,
9,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT,
8,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
7,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
6,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
5,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
4,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
