,2,3,4,5,6,7,8,9,10,11
21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
19,STAND,STAND,STAND,STAND,DOUBLE,STAND,STAND,STAND,STAND,STAND
18,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STAND,STAND,HIT,HIT,HIT
17,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
16,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
15,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
14,HIT,HIT,HIT,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
13,HIT,HIT,HIT,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
12,HIT,HIT,HIT,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,HIT
