,2,3,4,5,6,7,8,9,10,11
11,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT
10,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
9,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,STAND,SPLIT,SPLIT,STAND,STAND
8,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT
7,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
6,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT,HIT
5,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT
4,HIT,HIT,HIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT,HIT
3,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
2,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
